year,month,day,rainfall,status,date
2025,2,6,14.0,Moderate,2025-02-06
2025,2,7,11.0,Moderate,2025-02-07
2025,2,8,161.0,Heavy,2025-02-08
2025,2,9,0.3,None,2025-02-09
2025,2,10,0.6,None,2025-02-10
2025,2,11,1.5,None,2025-02-11
2025,2,12,0.0,None,2025-02-12
2025,2,13,0.0,None,2025-02-13
2025,2,14,0.0,None,2025-02-14
2025,2,15,2.0,Low,2025-02-15
2025,2,16,0.6,None,2025-02-16
2025,2,17,28.0,High,2025-02-17
2025,2,18,0.5,None,2025-02-18
2025,2,19,23.0,Moderate,2025-02-19
2025,2,20,1.0,None,2025-02-20
2025,2,21,1.0,None,2025-02-21
2025,2,22,7.0,Low,2025-02-22
2025,2,23,4.2,Low,2025-02-23
2025,2,24,84.0,Heavy,2025-02-24
2025,2,25,0.0,None,2025-02-25
2025,2,26,0.0,None,2025-02-26
2025,2,27,8.0,Low,2025-02-27
2025,2,28,2.4,Low,2025-02-28
2025,3,1,2.0,Low,2025-03-01
2025,3,2,0.0,None,2025-03-02
2025,3,3,0.0,None,2025-03-03
2025,3,4,41.0,High,2025-03-04
2025,3,5,0.0,None,2025-03-05
2025,3,6,0.0,None,2025-03-06
2025,3,7,0.0,None,2025-03-07
2025,3,8,0.0,None,2025-03-08
2025,3,9,0.0,None,2025-03-09
2025,3,10,0.0,None,2025-03-10
2025,3,11,0.0,None,2025-03-11
2025,3,12,0.0,None,2025-03-12
2025,3,13,0.0,None,2025-03-13
2025,3,14,29.0,High,2025-03-14
2025,3,15,0.2,None,2025-03-15
2025,3,16,0.0,None,2025-03-16
2025,3,17,31.0,High,2025-03-17
2025,3,18,11.0,Moderate,2025-03-18
2025,3,19,0.2,None,2025-03-19
2025,3,20,0.4,None,2025-03-20
2025,3,21,0.2,None,2025-03-21
2025,3,22,14.0,Moderate,2025-03-22
2025,3,23,0.0,None,2025-03-23
2025,3,24,0.0,None,2025-03-24
2025,3,25,4.8,Low,2025-03-25
2025,3,26,0.1,None,2025-03-26
2025,3,27,4.0,Low,2025-03-27
2025,3,28,1.0,None,2025-03-28
2025,3,29,0.8,None,2025-03-29
2025,3,30,0.0,None,2025-03-30
2025,3,31,12.0,Moderate,2025-03-31
2025,4,1,21.0,Moderate,2025-04-01
2025,4,2,15.0,Moderate,2025-04-02
2025,4,3,1.0,None,2025-04-03
2025,4,4,0.2,None,2025-04-04
2025,4,5,0.0,None,2025-04-05
2025,4,6,57.0,Heavy,2025-04-06
2025,4,7,0.0,None,2025-04-07
2025,4,8,0.0,None,2025-04-08
2025,4,9,0.0,None,2025-04-09
2025,4,10,0.0,None,2025-04-10
2025,4,11,0.0,None,2025-04-11
2025,4,12,0.6,None,2025-04-12
2025,4,13,25.0,High,2025-04-13
2025,4,14,2.0,Low,2025-04-14
